date,exercise,sets,reps,weight_kg,duration_min,calories,muscle_group
2026-02-09,Bench Press,4,10,75.0,50,360,Chest
2026-02-09,Dumbbell Fly,3,12,22.0,50,360,Chest
2026-02-12,Squat,4,8,95.0,60,440,Legs
2026-02-12,Romanian Deadlift,3,10,75.0,60,440,Legs
2026-02-14,Deadlift,3,5,117.5,55,425,Back
2026-02-14,Pull Up,4,10,0.0,55,425,Back
2026-02-16,Bench Press,4,10,77.5,50,365,Chest
2026-02-16,Overhead Press,3,8,47.5,50,365,Shoulders
2026-02-19,Squat,4,8,97.5,60,450,Legs
2026-02-21,Deadlift,4,5,120.0,60,440,Back
2026-02-21,Bent Over Row,4,10,67.5,60,440,Back
2026-02-23,Bench Press,4,10,80.0,55,375,Chest
2026-02-26,Squat,4,8,100.0,60,460,Legs
2026-02-28,Deadlift,4,5,122.5,60,450,Back
2026-03-01,Bench Press,4,10,82.5,55,380,Chest
2026-03-01,Overhead Press,4,8,50.0,55,380,Shoulders
2026-03-04,Squat,4,8,102.5,60,465,Legs
2026-03-04,Leg Press,4,12,140.0,60,465,Legs
2026-03-06,Deadlift,4,5,125.0,60,460,Back
2026-03-06,Pull Up,4,10,5.0,60,460,Back
2026-03-08,Bench Press,4,10,85.0,55,390,Chest
2026-03-08,Incline Bench Press,3,10,60.0,55,390,Chest
2026-03-11,Squat,5,8,105.0,65,490,Legs
2026-03-11,Romanian Deadlift,4,10,80.0,65,490,Legs
2026-03-13,Deadlift,4,5,127.5,60,465,Back
2026-03-13,Bent Over Row,4,10,70.0,60,465,Back
2026-03-15,Bench Press,4,10,87.5,55,395,Chest
2026-03-15,Overhead Press,4,8,52.5,55,395,Shoulders
2026-03-18,Squat,5,8,107.5,65,500,Legs
2026-03-20,Deadlift,4,5,130.0,65,475,Back
2026-03-20,Pull Up,5,10,5.0,65,475,Back
2026-03-22,Bench Press,4,10,90.0,60,410,Chest
2026-03-25,Squat,5,8,110.0,65,510,Legs
2026-03-25,Leg Press,4,12,150.0,65,510,Legs
2026-03-27,Deadlift,4,5,132.5,65,480,Back
2026-03-27,Bent Over Row,4,10,72.5,65,480,Back
2026-03-29,Bench Press,5,10,92.5,60,420,Chest
2026-04-01,Squat,5,8,112.5,70,530,Legs
2026-04-01,Overhead Press,4,8,55.0,60,420,Shoulders
2026-04-03,Deadlift,5,5,135.0,70,495,Back
2026-04-05,Bench Press,5,10,95.0,60,430,Chest
2026-04-05,Dumbbell Fly,4,12,25.0,60,430,Chest
2026-04-08,Squat,5,8,115.0,70,540,Legs
2026-04-10,Deadlift,5,5,137.5,70,500,Back
2026-04-10,Pull Up,5,10,7.5,70,500,Back
2026-04-12,Bench Press,5,10,97.5,65,445,Chest
2026-04-12,Overhead Press,4,8,57.5,65,445,Shoulders
2026-04-15,Squat,5,8,117.5,70,550,Legs
2026-04-15,Romanian Deadlift,4,10,85.0,70,550,Legs
2026-04-17,Deadlift,5,5,140.0,70,510,Back
2026-04-17,Bent Over Row,4,10,75.0,70,510,Back
2026-04-19,Bench Press,5,10,100.0,65,460,Chest
2026-04-22,Squat,5,8,120.0,75,570,Legs
2026-04-22,Leg Press,5,12,160.0,75,570,Legs
2026-04-24,Deadlift,5,5,142.5,75,525,Back
2026-04-26,Bench Press,5,10,100.0,65,460,Chest
2026-04-26,Overhead Press,5,8,60.0,65,460,Shoulders
2026-04-29,Squat,5,8,122.5,75,580,Legs
2026-05-01,Deadlift,5,5,145.0,75,535,Back
2026-05-01,Pull Up,5,12,7.5,75,535,Back
2026-05-03,Bench Press,5,10,102.5,65,470,Chest
2026-05-06,Squat,5,8,125.0,75,590,Legs
2026-05-06,Bent Over Row,5,10,77.5,75,540,Back
2026-05-08,Deadlift,5,5,147.5,75,545,Back
2026-05-10,Bench Press,5,10,105.0,70,485,Chest
2026-05-10,Overhead Press,5,8,62.5,70,485,Shoulders
2026-05-13,Squat,5,8,127.5,80,610,Legs
2026-05-13,Romanian Deadlift,5,10,90.0,80,610,Legs
2026-05-15,Deadlift,5,5,150.0,80,560,Back
2026-05-15,Pull Up,5,12,10.0,80,560,Back
2026-05-17,Bench Press,5,10,107.5,70,495,Chest
2026-05-20,Squat,5,8,130.0,80,620,Legs
2026-05-20,Leg Press,5,12,170.0,80,620,Legs
2026-05-22,Deadlift,5,5,152.5,80,570,Back
2026-05-22,Bent Over Row,5,10,80.0,80,570,Back
2026-05-24,Bench Press,5,10,110.0,70,505,Chest
2026-05-24,Overhead Press,5,8,65.0,70,505,Shoulders
2026-05-27,Squat,5,8,132.5,80,630,Legs
2026-05-29,Deadlift,5,5,155.0,80,580,Back
2026-05-29,Pull Up,5,12,10.0,80,580,Back
2026-05-31,Bench Press,5,10,112.5,70,515,Chest
